focal_file,focal_path,focal_class,focal_example_value,focal_userselected,focal_free,connected_file,connected_path,focal_keyfield,connected_keyfield
input_json,annual_prec,integer,1500,,,,,,
input_json,arable_tograssland,integer,0,,,,,,
input_json,climate_zone,character,Temperate,,,,,,
input_json,climate_zone_2,character,Warm Temperate Dry,,,,,,
input_json,cropland_orgmatter,character,"Low, temperate/boreal, dry",,,,,,
input_json,cropland_orgmatter_ipcc,numeric,0.95,,,,,,
input_json,cropland_system,character,"Long term cultivated, temperate/boreal, dry",,,,,,
input_json,cropland_system_ipcc,numeric,0.8,,,,,,
input_json,cropland_tillage,character,Full,,,,,,
input_json,cropland_tillage_ipcc,integer,1,,,,,,
input_json,database_code,character,base,,,,,,
input_json,et,integer,1460,,,,,,
input_json,farm_code,character,001,,,,,,
input_json,farm_name,character,test 3,,,,,,
input_json,grassland_implevel,character,Medium,,,,,,
input_json,grassland_implevel_ipcc,integer,1,,,,,,
input_json,grassland_management,character,Nominally managed,,,,,,
input_json,grassland_management_ipcc,integer,1,,,,,,
input_json,grassland_toarable,integer,0,,,,,,
input_json,purchased_bedding,integer,0,,,,,,
input_json,purchased_compost,integer,0,,,,,,
input_json,purchased_manure,integer,0,,,,,,
input_json,purchased_organic_n,integer,0,,,,,,
input_json,rain_length,integer,5,,,,,,
input_json,region,character,AFRICA,,,,,,
input_json,soil_bulk,integer,6,,,,,,
input_json,soil_c,integer,12,,,,,,
input_json,soil_clay,integer,45,,,,,,
input_json,soil_depth,integer,2,,,,,,
input_json,soil_description,character,Lixisol,,,,,,
input_json,soil_k_value,numeric,0.25,,,,,,
input_json,soil_n,numeric,3.5,,,,,,
input_json,waste_consume_meat,integer,2,,,,,,
input_json,waste_consume_milk,integer,2,,,,,,
input_json,waste_distribution_meat,integer,3,,,,,,
input_json,waste_distribution_milk,integer,3,,,,,,
input_json,waste_processing_meat,integer,5,,,,,,
input_json,waste_processing_milk,integer,5,,,,,,
input_json,waste_production_meat,integer,3,,,,,,
input_json,waste_production_milk,integer,3,,,,,,
input_json,feed_items/ammonia,character,0,,,,,,
input_json,feed_items/ammonium_nitrate,character,0,,,,,,
input_json,feed_items/ammonium_sulfate,character,0,,,,,,
input_json,feed_items/average_dbh25,character,0,,,,,,
input_json,feed_items/average_dbh2550,character,0,,,,,,
input_json,feed_items/average_dbh50,character,0,,,,,,
input_json,feed_items/category,character,cereal|legume,,,,,,
input_json,feed_items/cp_content,character,13.60| 3.85|18.40,,,,,,
input_json,feed_items/cultivation_period,character,0,,,,,,
input_json,feed_items/cut_carry_fraction,character,0,,,,,,
input_json,feed_items/dap,character,0,,,,,,
input_json,feed_items/diameter_breast,character,0,,,,,,
input_json,feed_items/dm_content,character,89.00|91.88|90.00,,,,,,
input_json,feed_items/dry_yield,character,30|15| 8,,,,,,
input_json,feed_items/ecosystem_type,character,"",,,,,,
input_json,feed_items/energy,character,  0|360|336,,,,,,
input_json,feed_items/feed_item_code,character,65|99|18,,,,,,
input_json,feed_items/feed_item_name,character,Oats (Avena sativa) - grain IP|Rice (Oryza sativa) - straw|Cowpea (Vigna unguiculata) - crop residue,,,,,,
input_json,feed_items/feed_type_code,character,2|45|9,,,,,,
input_json,feed_items/feed_type_name,character,Avena sativa|Rice|Cowpea,,,,,,
input_json,feed_items/fraction_as_fertilizer,character,1|0,,,,,,
input_json,feed_items/fraction_as_manure,character,NA,,,,,,
input_json,feed_items/grassman,character,1,,,,,,
input_json,feed_items/grassman_change_factor,character,1,,,,,,
input_json,feed_items/grassman_desc,character,Nominally managed,,,,,,
input_json,feed_items/increase_dbh25,character,0,,,,,,
input_json,feed_items/increase_dbh2550,character,0,,,,,,
input_json,feed_items/increase_dbh50,character,0,,,,,,
input_json,feed_items/intercrop,character,0,,,,,,
input_json,feed_items/intercrop_fraction,character,0,,,,,,
input_json,feed_items/kc_initial,character,0.10|1.05|0.15,,,,,,
input_json,feed_items/kc_late,character,0.55|0.75|0.60,,,,,,
input_json,feed_items/kc_midseason,character,1.10|1.20|1.05,,,,,,
input_json,feed_items/land_cover,character,7|1,,,,,,
input_json,feed_items/land_cover_desc,character,Cereals|Dense forest,,,,,,
input_json,feed_items/landcover_c_factor,character,0.150|0.001,,,,,,
input_json,feed_items/main_n,character,0.0176|0.0090|0.0380,,,,,,
input_json,feed_items/main_product_removal,character,1|0,,,,,,
input_json,feed_items/me_content,character,12.267324| 5.640000| 9.880848,,,,,,
input_json,feed_items/n_content,character,0.2|0.0,,,,,,
input_json,feed_items/n_fertilizer,character,NA,,,,,,
input_json,feed_items/n_solutions,character, 50|300|100,,,,,,
input_json,feed_items/npk,character,0,,,,,,
input_json,feed_items/organic_amendment,character,"",,,,,,
input_json,feed_items/residue_burnt,character,0,,,,,,
input_json,feed_items/residue_dry_yield,character,0|6,,,,,,
input_json,feed_items/residue_n,character,0.0|0.2,,,,,,
input_json,feed_items/residue_removal,character,0.0|0.8,,,,,,
input_json,feed_items/slope,character,1,,,,,,
input_json,feed_items/slope_desc,character,Flat (0-5%),,,,,,
input_json,feed_items/slope_length,character,0,,,,,,
input_json,feed_items/slope_p_factor,character,0.11,,,,,,
input_json,feed_items/source_type,character,Main|Residue,,,,,,
input_json,feed_items/time_horizon,character,0,,,,,,
input_json,feed_items/trees_dhb,character,0,,,,,,
input_json,feed_items/trees_growth,character,0,,,,,,
input_json,feed_items/trees_ha,character,0,,,,,,
input_json,feed_items/trees_ha_dbh25,character,0,,,,,,
input_json,feed_items/trees_ha_dbh2550,character,0,,,,,,
input_json,feed_items/trees_ha_dbh50,character,0,,,,,,
input_json,feed_items/trees_removal,character,0,,,,,,
input_json,feed_items/urea,character,400|700|200,,,,,,
input_json,feed_items/usda_value,character,    0|20450|16062,,,,,,
input_json,feed_items/water_content,character, 0.00|12.89|11.95,,,,,,
input_json,feed_items/water_regime,character,"",,,,,,
input_json,livestock/adult_weight,character,800|400|  0,,,,,,
input_json,livestock/annual_growth,character, 0|90,,,,,,
input_json,livestock/annual_milk,character,3000|1500|   0,,,,,,
input_json,livestock/annual_wool,character,0,,,,,,
input_json,livestock/birth_interval,character,1.166667|1.500000|0.000000,,,,,,
input_json,livestock/body_weight,character,600|350|200,,,,,,
input_json,livestock/body_weight_weaning,character,0,,,,,,
input_json,livestock/body_weight_year_one,character,0,,,,,,
input_json,livestock/carcass_fraction,character,0.48|0.00,,,,,,
input_json,livestock/cp_grazing,character,0|3,,,,,,
input_json,livestock/cp_growth,character,0.0|0.4,,,,,,
input_json,livestock/cp_lactation,character,5|2|0,,,,,,
input_json,livestock/cp_lactmilk,character,0.09|0.00,,,,,,
input_json,livestock/cp_maintenance,character,0.60|0.35|0.20,,,,,,
input_json,livestock/cp_pregnancy,character,12.21| 9.64| 0.00,,,,,,
input_json,livestock/distance_to_pasture,character,0.0|0.5,,,,,,
input_json,livestock/energy_eggcontent,character,0,,,,,,
input_json,livestock/energy_meatcontent,character,2200,,,,,,
input_json,livestock/energy_milkcontent,character,970|  0,,,,,,
input_json,livestock/fat_content,character,4.3|5.8|0.0,,,,,,
input_json,livestock/grazing_displacement,character,0|2,,,,,,
input_json,livestock/herd_composition,character,2|5|0,,,,,,
input_json,livestock/ipcc_ef_category_t1,character,Dairy cattle|Other mature female|Other mature female-grazing,,,,,,
input_json,livestock/ipcc_ef_category_t2,character,Dairy cows|Non-dairy,,,,,,
input_json,livestock/ipcc_meth_man_category,character,Dairy cows|Other cattle,,,,,,
input_json,livestock/ipcc_n_exc_category,character,Dairy cattle|Other cattle,,,,,,
input_json,livestock/lactation_length,character,0,,,,,,
input_json,livestock/litter_size,character,0,,,,,,
input_json,livestock/livetype_code,character,2|1|5,,,,,,
input_json,livestock/livetype_desc,character,Cattle - Cows (improved)|Cattle - Cows (local)|Cattle - Steers/heifers,,,,,,
input_json,livestock/lw_gain,character,0,,,,,,
input_json,livestock/manure_in_field,character,0,,,,,,
input_json,livestock/manure_in_non_roofed_enclosure,character,0,,,,,,
input_json,livestock/manure_in_stable,character,1|0,,,,,,
input_json,livestock/manure_onfarm_fraction,character,1|0,,,,,,
input_json,livestock/manure_sales_fraction,character,0,,,,,,
input_json,livestock/manureman_non_roofed_enclosure,character,Solid storage,,,,,,
input_json,livestock/manureman_offfarm_grazing,character,Solid storage,,,,,,
input_json,livestock/manureman_onfarm_grazing,character,Solid storage|Pasture / range / paddock,,,,,,
input_json,livestock/manureman_stable,character,Solid storage,,,,,,
input_json,livestock/me_grazing,character,2.0|1.5,,,,,,
input_json,livestock/me_growth,character, 0|50,,,,,,
input_json,livestock/me_lactation,character,5|2|0,,,,,,
input_json,livestock/me_lactmilk,character,5.5|0.0,,,,,,
input_json,livestock/me_maintenance,character,60.61547|40.45955|26.59148,,,,,,
input_json,livestock/me_pregnancy,character,1500|1260|   0,,,,,,
input_json,livestock/meat_product,character,beef,,,,,,
input_json,livestock/milk_product,character,cow milk,,,,,,
input_json,livestock/n_content,character,0.029,,,,,,
input_json,livestock/piglets_relying_on_milk,character,0,,,,,,
input_json,livestock/proportion_growth,character,0,,,,,,
input_json,livestock/protein_meatcontent,character,26,,,,,,
input_json,livestock/protein_milkcontent,character,3.7|3.2|0.0,,,,,,
input_json,livestock/time_in_non_roofed_enclosure,character,0,,,,,,
input_json,livestock/time_in_offfarm_grazing,character,0,,,,,,
input_json,livestock/time_in_onfarm_grazing,character,0|1,,,,,,
input_json,livestock/time_in_stable,character,1|0,,,,,,
input_json,livestock/water_requirement,character,140|120| 80,,,,,,
input_json,livestock/work_hour,character,0,,,,,,
input_json,seasons/season_length,character,200|165,,,,,,
input_json,seasons/season_name,character,Wet season|Dry season,,,,,,
input_json,feed_basket/season_name,character,Wet season|Dry season,,,,,,
input_json,feed_basket/feeds/feed_item_code,character,65|99|18,,,,,,
input_json,feed_basket/feeds/feed_type_code,character,2|45|9,,,,,,
input_json,feed_basket/feeds/livestock/allocation,character,40|17|25|43|20|35,,,,,,
input_json,feed_basket/feeds/livestock/livetype_code,character,2|1|5,,,,,,
input_json,fertilizer/fertilizer_code,character,4|6,,,,,,
input_json,fertilizer/fertilizer_desc,character,Ammonium nitrate|N solutions,,,,,,
input_json,fertilizer/fraction,character,0,,,,,,
input_json,fertilizer/percentage_n,character,12|10,,,,,,
